epoch,OA,P,R,KC,F1,AUC
107,0.941216862,0.866628923,0.797721858,0.795254479,0.830748953,0.963902354
108,0.941863127,0.870608328,0.796977367,0.797092444,0.832167289,0.964224102
109,0.94229397,0.873184266,0.796605122,0.798342114,0.833138675,0.964611852
110,0.942899842,0.876526014,0.796456224,0.800165305,0.834575028,0.964887422
111,0.943330685,0.879641064,0.795488386,0.801326558,0.835450956,0.965051099
112,0.943411469,0.881269107,0.794073853,0.801346416,0.835402389,0.96511091
113,0.943519179,0.882674621,0.793106015,0.801520942,0.835496647,0.965216928
114,0.943640354,0.884033893,0.792287076,0.801761168,0.835649784,0.96535642
115,0.943950022,0.885405405,0.792659321,0.802772887,0.83646934,0.965538748
116,0.944192371,0.886539582,0.792882668,0.803554371,0.837099627,0.965701625
117,0.944313546,0.886753204,0.793403812,0.804010557,0.837485265,0.965847403
118,0.944488576,0.88700424,0.794222752,0.804679748,0.838053341,0.966024144
119,0.944515504,0.887087387,0.794297201,0.804774495,0.838131898,0.96604334
120,0.944488576,0.887455257,0.793701608,0.804597026,0.837964237,0.965929897
121,0.944273154,0.88730516,0.792510423,0.803743739,0.83723308,0.965700373
122,0.944165444,0.887488523,0.791617034,0.803269139,0.836815803,0.965567367
123,0.944178908,0.887692051,0.791468136,0.803286795,0.836823048,0.965531214
124,0.944300082,0.888229889,0.791617034,0.803684086,0.837145219,0.965584114
125,0.944178908,0.888145795,0.790946992,0.803203354,0.836733087,0.96548486
126,0.944017341,0.888163402,0.789904705,0.80253803,0.836157302,0.965242974
127,0.94397695,0.888590829,0.789160214,0.802293679,0.835929183,0.965120131
128,0.944071197,0.888916834,0.789383562,0.802620292,0.836198738,0.965111047
129,0.94415198,0.889037881,0.789755807,0.802929294,0.836461126,0.965209779
130,0.944407793,0.889670772,0.790649196,0.80386172,0.837242304,0.965402257
131,0.944690534,0.890125523,0.79191483,0.804936165,0.838153022,0.96563993
132,0.944757853,0.890302067,0.792138177,0.805179489,0.83835638,0.965911102
133,0.945121377,0.891333445,0.793254914,0.806479111,0.839439061,0.966357287
134,0.945673394,0.892031706,0.79593508,0.808605525,0.841247984,0.967075921
135,0.945915743,0.891997668,0.797498511,0.809597686,0.842105263,0.967679768
136,0.946373514,0.893085947,0.799136391,0.811266358,0.843503202,0.96822859
137,0.946588935,0.893555094,0.799955331,0.812058622,0.844168598,0.968509264
138,0.946763965,0.89412841,0.800402025,0.812668848,0.844673162,0.968768528
139,0.946817821,0.893639987,0.801295414,0.812971478,0.844952112,0.96904112
140,0.94688514,0.893162039,0.802263252,0.813326703,0.845275915,0.969329489
141,0.946992851,0.892972436,0.803156641,0.81379524,0.845686513,0.969627297
142,0.947194808,0.893365321,0.803975581,0.814543874,0.846316614,0.969926349
143,0.947315983,0.893119683,0.805017868,0.815075499,0.846783351,0.970211999
144,0.947356374,0.892692181,0.805762359,0.815311987,0.847002661,0.970514221
145,0.947248664,0.892038899,0.805836808,0.81498989,0.846749589,0.970824957
146,0.947531404,0.89228997,0.807325789,0.816086846,0.84768419,0.971241503
147,0.947477549,0.892125401,0.807176891,0.815898072,0.847527848,0.971431505
148,0.947504477,0.892143151,0.807325789,0.816003544,0.847617931,0.971450503
149,0.947302519,0.891622778,0.806655747,0.815278991,0.847013759,0.971470357
