epoch,OA,P,R,KC,F1,AUC
40,0.948778676,0.266824551,0.317743831,0.263706449,0.290066509,0.887744137
41,0.949839014,0.274878641,0.319388954,0.269611862,0.295466899,0.88910955
42,0.951069626,0.285090455,0.322209166,0.277259064,0.302515446,0.890495814
43,0.952145444,0.29471891,0.325264395,0.284515674,0.309239191,0.891948828
44,0.953151605,0.304224739,0.328319624,0.291595118,0.31581327,0.893521014
45,0.954134547,0.315195753,0.334900118,0.301032947,0.324749316,0.89522507
46,0.955040092,0.325393258,0.340305523,0.30943081,0.332682366,0.897053668
47,0.955891458,0.335685025,0.346650999,0.318267995,0.341079894,0.898982115
48,0.956657689,0.346285714,0.356051704,0.328685387,0.351100811,0.901111293
49,0.957377481,0.356356127,0.364982374,0.338574855,0.360617671,0.903400319
50,0.957965698,0.365013774,0.373678026,0.347556528,0.369295088,0.905616992
51,0.958321724,0.371239745,0.382843713,0.355397462,0.376952447,0.907761092
52,0.958561654,0.375594295,0.389894242,0.361179803,0.382610701,0.910033783
53,0.959103433,0.383938642,0.4,0.37065428,0.391804788,0.912443312
54,0.95944398,0.389350708,0.407285546,0.377142234,0.398116242,0.914970351
55,0.960008978,0.398259705,0.419506463,0.387926297,0.408607073,0.917587012
56,0.960543017,0.406061957,0.428202115,0.396433856,0.416838252,0.920257227
57,0.960899043,0.411933702,0.438072855,0.404383063,0.424601367,0.922707345
58,0.961046098,0.414580588,0.443713278,0.408512221,0.428652514,0.925056983
59,0.961193152,0.417732495,0.452878966,0.414537238,0.434596301,0.927325304
60,0.961316987,0.420227614,0.459929495,0.419192951,0.439183124,0.929519431
61,0.961394384,0.422236367,0.467685076,0.423857411,0.443800178,0.931628978
62,0.961533699,0.424689277,0.473795535,0.428034786,0.447900467,0.933797621
63,0.961827807,0.429317185,0.48319624,0.434959205,0.454666077,0.936008222
64,0.962199313,0.43484566,0.493301998,0.442724699,0.462232988,0.938150555
65,0.962578558,0.440107394,0.500822562,0.449196335,0.468506101,0.940237633
66,0.962864927,0.444193217,0.50787309,0.454745934,0.473903509,0.942223915
67,0.963251912,0.449683609,0.517743831,0.462368524,0.481319642,0.944114514
68,0.963522801,0.453474197,0.524559342,0.467626861,0.486433475,0.945892817
69,0.963747252,0.456780173,0.532784959,0.473181806,0.491863745,0.947523608
70,0.964211634,0.463048268,0.543360752,0.481564185,0.5,0.949281935
71,0.964683756,0.46917534,0.550881316,0.488564106,0.506756026,0.951166443
72,0.965279713,0.476950708,0.561692127,0.497982941,0.515864451,0.953056187
73,0.965984025,0.48603352,0.572502938,0.508217933,0.525736484,0.954982353
74,0.966649639,0.494604317,0.581668625,0.51743745,0.534614969,0.956830219
75,0.967121761,0.500696517,0.591304348,0.52531164,0.542241379,0.958375531
76,0.966618681,0.494318182,0.592949471,0.521990111,0.539160167,0.959107693
77,0.966603201,0.494192799,0.6,0.524818581,0.541980681,0.960165614
78,0.967222377,0.501933488,0.610105758,0.533916109,0.55075846,0.961654826
79,0.967261076,0.502397852,0.615511163,0.536420403,0.553231939,0.962707572
80,0.967083062,0.500189538,0.620211516,0.536886663,0.553771902,0.963613637
81,0.968058264,0.512171928,0.632902468,0.549782606,0.566172606,0.965432592
82,0.968600043,0.518835616,0.640893067,0.557328735,0.573441279,0.967006693
83,0.969335315,0.527846417,0.652643948,0.56791467,0.583648592,0.968550189
